case	ubatch	chunks_reported	mean_kld	mean_kld_unc	kld_p999	mean_ppl_q	mean_ppl_q_unc	mean_ppl_base	mean_ppl_base_unc	mean_ppl_ratio	mean_ppl_ratio_unc	rms_dp_percent	rms_dp_percent_unc	same_top_p_percent	same_top_p_percent_unc	diagnostic_histogram_files	diagnostic_sample_row_files	diagnostic_manifest_files	log
kld_batched_ubatch_512	512	8	0.078243	0.004257	2.182183	10.72598	0.72955	10.516417	0.704933	1.019927	0.012474	8.029	0.449	87.843	0.724	0	0	0	logs/kld_batched_ubatch_512.raw.log
kld_native_slice_ubatch_512	512	8	0.078243	0.004257	2.182183	10.72598	0.72955	10.516417	0.704933	1.019927	0.012474	8.029	0.449	87.843	0.724	0	0	0	logs/kld_native_slice_ubatch_512.raw.log
