threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err
11.5,0,50,7627,524288,0.014547348022460938,373618,50,127.6503,4.69956
11.5,1,50,4210,524288,0.008029937744140625,208796,50,127.6503,4.69956
11.5,2,50,1889,524288,0.0036029815673828125,82778,50,127.6503,4.69956
11.5,3,50,287,524288,0.0005474090576171875,11966,50,127.6503,4.69956
11.5,4,50,8022,524288,0.015300750732421875,388783,50,127.6503,4.69956
11.5,5,50,6177,524288,0.011781692504882812,296943,50,127.6503,4.69956
11.5,6,50,3955,524288,0.0075435638427734375,193792,50,127.6503,4.69956
11.5,7,50,592,524288,0.001129150390625,28135,50,127.6503,4.69956
11.5,8,50,4063,524288,0.0077495574951171875,199645,50,127.6503,4.69956
11.5,9,50,135,524288,0.0002574920654296875,4594,50,127.6503,4.69956
11.5,10,50,6501,524288,0.012399673461914062,314742,50,127.6503,4.69956
11.5,11,50,7110,524288,0.013561248779296875,350237,50,127.6503,4.69956
11.5,12,50,3904,524288,0.0074462890625,179107,50,127.6503,4.69956
11.5,13,50,563,524288,0.0010738372802734375,17513,50,127.6503,4.69956
11.5,14,50,5743,524288,0.010953903198242188,269436,50,127.6503,4.69956
11.5,15,50,730,524288,0.001392364501953125,29347,50,127.6503,4.69956
11.5,16,50,1703,524288,0.0032482147216796875,66426,50,127.6503,4.69956
11.5,17,50,356,524288,0.00067901611328125,9006,50,127.6503,4.69956
11.5,18,50,2069,524288,0.0039463043212890625,84748,50,127.6503,4.69956
11.5,19,50,228,524288,0.00043487548828125,6647,50,127.6503,4.69956
11.5,20,50,366,524288,0.000698089599609375,9211,50,127.6503,4.69956
11.5,21,50,1359,524288,0.0025920867919921875,63202,50,127.6503,4.69956
11.5,22,50,2679,524288,0.0051097869873046875,103156,50,127.6503,4.69956
11.5,23,50,3250,524288,0.006198883056640625,146100,50,127.6503,4.69956
11.5,24,50,145,524288,0.0002765655517578125,4719,50,127.6503,4.69956
11.5,25,50,2498,524288,0.004764556884765625,100361,50,127.6503,4.69956
11.5,26,50,532,524288,0.00101470947265625,23501,50,127.6503,4.69956
11.5,27,50,1549,524288,0.0029544830322265625,63823,50,127.6503,4.69956
11.5,28,50,2084,524288,0.00397491455078125,76193,50,127.6503,4.69956
11.5,29,50,823,524288,0.0015697479248046875,35404,50,127.6503,4.69956
11.5,30,50,3125,524288,0.0059604644775390625,148522,50,127.6503,4.69956
11.5,31,50,568,524288,0.0010833740234375,18471,50,127.6503,4.69956
11.5,32,50,2367,524288,0.0045146942138671875,110514,50,127.6503,4.69956
11.5,33,50,192,524288,0.0003662109375,5317,50,127.6503,4.69956
11.5,34,50,2437,524288,0.0046482086181640625,112132,50,127.6503,4.69956
11.5,35,50,7441,524288,0.014192581176757812,361176,50,127.6503,4.69956
11.0,0,50,7869,524288,0.015008926391601562,385212,50,117.3361,4.26293
11.0,1,50,4224,524288,0.008056640625,209547,50,117.3361,4.26293
11.0,2,50,2125,524288,0.0040531158447265625,94526,50,117.3361,4.26293
11.0,3,50,381,524288,0.0007266998291015625,15985,50,117.3361,4.26293
11.0,4,50,8391,524288,0.016004562377929688,406989,50,117.3361,4.26293
11.0,5,50,6830,524288,0.013027191162109375,326832,50,117.3361,4.26293
11.0,6,50,3977,524288,0.0075855255126953125,195494,50,117.3361,4.26293
11.0,7,50,691,524288,0.0013179779052734375,32625,50,117.3361,4.26293
11.0,8,50,4141,524288,0.007898330688476562,202621,50,117.3361,4.26293
11.0,9,50,175,524288,0.0003337860107421875,6604,50,117.3361,4.26293
11.0,10,50,6761,524288,0.012895584106445312,328837,50,117.3361,4.26293
11.0,11,50,7307,524288,0.013936996459960938,359030,50,117.3361,4.26293
11.0,12,50,4345,524288,0.008287429809570312,199839,50,117.3361,4.26293
11.0,13,50,799,524288,0.0015239715576171875,23482,50,117.3361,4.26293
11.0,14,50,6037,524288,0.011514663696289062,287207,50,117.3361,4.26293
11.0,15,50,987,524288,0.0018825531005859375,39222,50,117.3361,4.26293
11.0,16,50,1962,524288,0.003742218017578125,83358,50,117.3361,4.26293
11.0,17,50,614,524288,0.001171112060546875,16450,50,117.3361,4.26293
11.0,18,50,2196,524288,0.00418853759765625,88165,50,117.3361,4.26293
11.0,19,50,399,524288,0.0007610321044921875,10700,50,117.3361,4.26293
11.0,20,50,462,524288,0.000881195068359375,13990,50,117.3361,4.26293
11.0,21,50,1531,524288,0.0029201507568359375,69476,50,117.3361,4.26293
11.0,22,50,2940,524288,0.00560760498046875,116932,50,117.3361,4.26293
11.0,23,50,3484,524288,0.00664520263671875,151617,50,117.3361,4.26293
11.0,24,50,249,524288,0.0004749298095703125,7513,50,117.3361,4.26293
11.0,25,50,2809,524288,0.0053577423095703125,116953,50,117.3361,4.26293
11.0,26,50,607,524288,0.0011577606201171875,27134,50,117.3361,4.26293
11.0,27,50,1868,524288,0.00356292724609375,73911,50,117.3361,4.26293
11.0,28,50,2710,524288,0.005168914794921875,103551,50,117.3361,4.26293
11.0,29,50,912,524288,0.001739501953125,39664,50,117.3361,4.26293
11.0,30,50,3314,524288,0.006320953369140625,157572,50,117.3361,4.26293
11.0,31,50,845,524288,0.0016117095947265625,27546,50,117.3361,4.26293
11.0,32,50,2524,524288,0.00481414794921875,114871,50,117.3361,4.26293
11.0,33,50,250,524288,0.000476837158203125,7514,50,117.3361,4.26293
11.0,34,50,2506,524288,0.004779815673828125,115661,50,117.3361,4.26293
11.0,35,50,7666,524288,0.014621734619140625,370020,50,117.3361,4.26293
112.0,0,50,3365,524288,0.0064182281494140625,162336,50,9.9403,0.26739
112.0,1,50,0,524288,0.0,0,0,9.9403,0.26739
112.0,2,50,0,524288,0.0,0,0,9.9403,0.26739
112.0,3,50,0,524288,0.0,0,0,9.9403,0.26739
112.0,4,50,0,524288,0.0,0,0,9.9403,0.26739
