layer,threshold,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta,source_experiment
0,214.0,50,57,524288,0.0001087188720703125,1567,50,10.2788,0.28123,0.0001,8.718872070312495e-06,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
1,42.0,50,38,524288,7.2479248046875e-05,763,50,10.2248,0.27917,0.0001,-2.7520751953125005e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
2,19.0,50,51,524288,9.72747802734375e-05,1597,50,14.5806,0.3911,0.0001,-2.725219726562505e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
3,16.25,50,50,524288,9.5367431640625e-05,1781,50,34.564,1.06324,0.0001,-4.632568359375005e-06,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
4,42.0,50,59,524288,0.0001125335693359375,1986,50,10.2248,0.27917,0.0001,1.2533569335937495e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
5,72.0,50,41,524288,7.82012939453125e-05,862,50,10.2543,0.28094,0.0001,-2.1798706054687505e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
6,26.0,50,53,524288,0.0001010894775390625,851,50,10.1592,0.27693,0.0001,1.0894775390624952e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
7,15.25,50,48,524288,9.1552734375e-05,1480,50,45.7332,1.45157,0.0001,-8.447265625000005e-06,20260605T072559Z-kcache-outlier-threshold-ratio-sweep
8,40.0,50,74,524288,0.000141143798828125,797,50,10.1559,0.27547,0.0001,4.1143798828124995e-05,20260605T065001Z-kcache-outlier-threshold-ratio-sweep
9,13.0,50,51,524288,9.72747802734375e-05,1327,50,97.4305,3.39968,0.0001,-2.725219726562505e-06,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
10,38.0,50,76,524288,0.00014495849609375,1515,50,10.0891,0.27299,0.0001,4.4958496093749995e-05,20260605T070048Z-kcache-outlier-threshold-ratio-sweep
