threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta
192.0,0,50,658,524288,0.001255035400390625,26699,50,10.062,0.2731,0.0001,0.001155035400390625
40.0,1,50,83,524288,0.0001583099365234375,2266,50,10.1559,0.27547,0.0001,5.8309936523437495e-05
20.0,2,50,25,524288,4.76837158203125e-05,570,50,13.4096,0.35945,0.0001,-5.2316284179687505e-05
16.0,3,50,57,524288,0.0001087188720703125,1955,50,38.9984,1.21778,0.0001,8.718872070312495e-06
40.0,4,50,144,524288,0.000274658203125,4112,50,10.1559,0.27547,0.0001,0.000174658203125
64.0,5,50,159,524288,0.0003032684326171875,6207,50,9.963,0.26702,0.0001,0.0002032684326171875
24.0,6,50,186,524288,0.000354766845703125,5466,50,10.2495,0.27931,0.0001,0.000254766845703125
16.0,7,50,29,524288,5.53131103515625e-05,937,50,38.9984,1.21778,0.0001,-4.4686889648437505e-05
40.0,8,50,74,524288,0.000141143798828125,797,50,10.1559,0.27547,0.0001,4.1143798828124995e-05
14.0,9,50,32,524288,6.103515625e-05,642,50,66.5679,2.22864,0.0001,-3.8964843750000005e-05
40.0,10,50,22,524288,4.1961669921875e-05,329,49,10.1559,0.27547,0.0001,-5.8038330078125005e-05
28.0,11,50,30,524288,5.7220458984375e-05,702,50,10.0514,0.27156,0.0001,-4.2779541015625005e-05
22.0,12,50,119,524288,0.0002269744873046875,2058,50,10.0832,0.265,0.0001,0.0001269744873046875
14.0,13,50,60,524288,0.00011444091796875,1722,50,66.5679,2.22864,0.0001,1.4440917968749995e-05
22.0,14,50,15,524288,2.86102294921875e-05,241,47,10.0832,0.265,0.0001,-7.13897705078125e-05
14.0,15,50,90,524288,0.000171661376953125,2358,50,66.5679,2.22864,0.0001,7.1661376953125e-05
18.0,16,50,23,524288,4.38690185546875e-05,518,50,19.6577,0.55125,0.0001,-5.6130981445312505e-05
14.0,17,50,31,524288,5.91278076171875e-05,689,50,66.5679,2.22864,0.0001,-4.0872192382812505e-05
18.0,18,50,28,524288,5.340576171875e-05,540,50,19.6577,0.55125,0.0001,-4.6594238281250005e-05
12.0,19,50,109,524288,0.0002079010009765625,3392,50,124.1883,4.56444,0.0001,0.0001079010009765625
14.0,20,50,43,524288,8.20159912109375e-05,880,50,66.5679,2.22864,0.0001,-1.7984008789062505e-05
18.0,21,50,79,524288,0.0001506805419921875,1523,50,19.6577,0.55125,0.0001,5.0680541992187495e-05
18.0,22,50,39,524288,7.43865966796875e-05,726,50,19.6577,0.55125,0.0001,-2.5613403320312505e-05
22.0,23,50,142,524288,0.000270843505859375,2576,50,10.0832,0.265,0.0001,0.000170843505859375
12.0,24,50,97,524288,0.0001850128173828125,2858,50,124.1883,4.56444,0.0001,8.50128173828125e-05
16.0,25,50,101,524288,0.0001926422119140625,1762,50,38.9984,1.21778,0.0001,9.26422119140625e-05
14.0,26,50,71,524288,0.0001354217529296875,1405,50,66.5679,2.22864,0.0001,3.5421752929687495e-05
16.0,27,50,27,524288,5.14984130859375e-05,734,50,38.9984,1.21778,0.0001,-4.8501586914062505e-05
14.0,28,50,152,524288,0.0002899169921875,3213,50,66.5679,2.22864,0.0001,0.0001899169921875
16.0,29,50,21,524288,4.00543212890625e-05,599,50,38.9984,1.21778,0.0001,-5.9945678710937505e-05
20.0,30,50,95,524288,0.0001811981201171875,1718,50,13.4096,0.35945,0.0001,8.11981201171875e-05
14.0,31,50,59,524288,0.0001125335693359375,1371,50,66.5679,2.22864,0.0001,1.2533569335937495e-05
16.0,32,50,20,524288,3.814697265625e-05,203,40,38.9984,1.21778,0.0001,-6.185302734375e-05
12.0,33,50,117,524288,0.0002231597900390625,3287,50,124.1883,4.56444,0.0001,0.0001231597900390625
20.0,34,50,72,524288,0.0001373291015625,1412,50,13.4096,0.35945,0.0001,3.7329101562499995e-05
28.0,35,50,134,524288,0.000255584716796875,2943,50,10.0514,0.27156,0.0001,0.000155584716796875
