threshold,layer,records,max_batch_outliers,target_values,max_batch_outlier_ratio,total_outliers,nonzero_batches,ppl,ppl_err,target_ratio,ratio_delta
24.0,0,2,4096,524288,0.0078125,8192,2,10.3728,1.51649,0.0001,0.0077125
24.0,1,2,3238,524288,0.006175994873046875,6430,2,10.3728,1.51649,0.0001,0.006075994873046875
16.0,2,2,269,524288,0.0005130767822265625,503,2,28.453,4.88569,0.0001,0.0004130767822265625
16.0,3,2,44,524288,8.392333984375e-05,81,2,28.453,4.88569,0.0001,-1.6076660156250005e-05
24.0,4,2,2466,524288,0.004703521728515625,4840,2,10.3728,1.51649,0.0001,0.004603521728515625
24.0,5,2,3297,524288,0.0062885284423828125,6586,2,10.3728,1.51649,0.0001,0.006188528442382812
24.0,6,2,141,524288,0.0002689361572265625,233,2,10.3728,1.51649,0.0001,0.0001689361572265625
16.0,7,2,26,524288,4.9591064453125e-05,42,2,28.453,4.88569,0.0001,-5.0408935546875005e-05
24.0,8,2,2715,524288,0.0051784515380859375,5422,2,10.3728,1.51649,0.0001,0.005078451538085937
16.0,9,2,4,524288,7.62939453125e-06,8,2,28.453,4.88569,0.0001,-9.237060546875e-05
24.0,10,2,2746,524288,0.005237579345703125,5470,2,10.3728,1.51649,0.0001,0.005137579345703125
24.0,11,2,386,524288,0.000736236572265625,746,2,10.3728,1.51649,0.0001,0.000636236572265625
24.0,12,2,14,524288,2.6702880859375e-05,24,2,10.3728,1.51649,0.0001,-7.3297119140625e-05
16.0,13,2,11,524288,2.09808349609375e-05,21,2,28.453,4.88569,0.0001,-7.90191650390625e-05
16.0,14,2,2543,524288,0.0048503875732421875,5042,2,28.453,4.88569,0.0001,0.004750387573242187
16.0,15,2,15,524288,2.86102294921875e-05,26,2,28.453,4.88569,0.0001,-7.13897705078125e-05
16.0,16,2,114,524288,0.000217437744140625,202,2,28.453,4.88569,0.0001,0.000117437744140625
16.0,17,2,6,524288,1.1444091796875e-05,11,2,28.453,4.88569,0.0001,-8.8555908203125e-05
16.0,18,2,162,524288,0.000308990478515625,302,2,28.453,4.88569,0.0001,0.000208990478515625
16.0,19,2,4,524288,7.62939453125e-06,7,2,28.453,4.88569,0.0001,-9.237060546875e-05
16.0,20,2,10,524288,1.9073486328125e-05,16,2,28.453,4.88569,0.0001,-8.0926513671875e-05
16.0,21,2,399,524288,0.0007610321044921875,723,2,28.453,4.88569,0.0001,0.0006610321044921875
16.0,22,2,381,524288,0.0007266998291015625,704,2,28.453,4.88569,0.0001,0.0006266998291015625
24.0,23,2,4,524288,7.62939453125e-06,7,2,10.3728,1.51649,0.0001,-9.237060546875e-05
16.0,24,2,7,524288,1.33514404296875e-05,11,2,28.453,4.88569,0.0001,-8.66485595703125e-05
16.0,25,2,37,524288,7.05718994140625e-05,63,2,28.453,4.88569,0.0001,-2.9428100585937505e-05
16.0,26,2,4,524288,7.62939453125e-06,8,2,28.453,4.88569,0.0001,-9.237060546875e-05
16.0,27,2,18,524288,3.4332275390625e-05,35,2,28.453,4.88569,0.0001,-6.5667724609375e-05
16.0,28,2,13,524288,2.47955322265625e-05,24,2,28.453,4.88569,0.0001,-7.52044677734375e-05
16.0,29,2,18,524288,3.4332275390625e-05,35,2,28.453,4.88569,0.0001,-6.5667724609375e-05
16.0,30,2,1465,524288,0.0027942657470703125,2886,2,28.453,4.88569,0.0001,0.0026942657470703127
16.0,31,2,13,524288,2.47955322265625e-05,18,2,28.453,4.88569,0.0001,-7.52044677734375e-05
16.0,32,2,23,524288,4.38690185546875e-05,30,2,28.453,4.88569,0.0001,-5.6130981445312505e-05
16.0,33,2,4,524288,7.62939453125e-06,7,2,28.453,4.88569,0.0001,-9.237060546875e-05
16.0,34,2,1402,524288,0.002674102783203125,2761,2,28.453,4.88569,0.0001,0.002574102783203125
24.0,35,2,592,524288,0.001129150390625,1044,2,10.3728,1.51649,0.0001,0.001029150390625
